ID,prompt,model,repeat,status,error,premise,hypothesis,raw_KB,original_item_f1,lemmatized_item_f1,unordered_item_f1,combined_item_f1,lemma_item_f1_delta,unordered_item_f1_delta,combined_item_f1_delta,best_scoring_modes,best_item_f1_gain_over_original,any_item_f1_gain,lemma_item_f1_gain,lemma_item_f1_loss,unordered_item_f1_gain,unordered_item_f1_loss,combined_item_f1_gain,combined_item_f1_loss,original_exact_match,original_best_reference_column,original_scored_prediction,original_scored_reference,original_tp,original_fp,original_fn,lemmatized_exact_match,lemmatized_best_reference_column,lemmatized_scored_prediction,lemmatized_scored_reference,lemmatized_tp,lemmatized_fp,lemmatized_fn,unordered_exact_match,unordered_best_reference_column,unordered_scored_prediction,unordered_scored_reference,unordered_tp,unordered_fp,unordered_fn,combined_exact_match,combined_best_reference_column,combined_scored_prediction,combined_scored_reference,combined_tp,combined_fp,combined_fn,lemma_new_exact_match,unordered_new_exact_match,combined_new_exact_match
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,3,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,4,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,5,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""standing in line"", ""waiting""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-sonnet-4.5,1,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(stand in line, wait)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-sonnet-4.5,2,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(stand in line, wait)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-sonnet-4.5,3,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(stand in line, wait)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-sonnet-4.5,4,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(stand in line, wait)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
114368470.jpg#1r1e,lasha,anthropic/claude-sonnet-4.5,5,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(stand in line, wait)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,original;lemmas;argument_order_agnostic;combined,0.0,0,0,0,0,0,0,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,Stefan_KB,"[[""stand in line"", ""wait""]]",[],0,1,0,0,0,0
